"","Gender","Gene","UAS","Driver","Age"
"766","female","Tsc1","31039","24B-Gal4",48
"767","female","Tsc1","31039","24B-Gal4",48
"768","female","Tsc1","31039","24B-Gal4",48
"769","female","Tsc1","31039","24B-Gal4",48
"770","female","Tsc1","31039","24B-Gal4",42
"771","female","Tsc1","31039","24B-Gal4",42
"772","female","Tsc1","31039","24B-Gal4",42
"773","female","Tsc1","31039","24B-Gal4",42
"774","female","Tsc1","31039","24B-Gal4",42
"775","female","Tsc1","31039","24B-Gal4",42
"776","female","Tsc1","31039","24B-Gal4",69
"777","female","Tsc1","31039","24B-Gal4",69
"778","female","Tsc1","31039","24B-Gal4",69
"779","female","Tsc1","31039","24B-Gal4",69
"780","female","Tsc1","31039","24B-Gal4",69
"781","female","Tsc1","31039","24B-Gal4",69
"782","male","Tsc1","31039","24B-Gal4",42
"783","male","Tsc1","31039","24B-Gal4",42
"784","male","Tsc1","31039","24B-Gal4",42
"785","male","Tsc1","31039","24B-Gal4",42
"786","male","Tsc1","31039","24B-Gal4",42
"787","male","Tsc1","31039","24B-Gal4",42
"788","male","Tsc1","31039","24B-Gal4",7
"789","male","Tsc1","31039","24B-Gal4",7
"790","male","Tsc1","31039","24B-Gal4",7
"791","male","Tsc1","31039","24B-Gal4",7
"792","male","Tsc1","31039","24B-Gal4",7
"793","male","Tsc1","31039","24B-Gal4",7
"794","female","Tsc1","31039","24B-Gal4",46
"795","female","Tsc1","31039","24B-Gal4",46
"796","female","Tsc1","31039","24B-Gal4",46
"797","female","Tsc1","31039","24B-Gal4",46
"798","female","Tsc1","31039","24B-Gal4",46
"799","female","Tsc1","31039","24B-Gal4",46
"800","female","Tsc1","31039","24B-Gal4",7
"801","female","Tsc1","31039","24B-Gal4",7
"802","female","Tsc1","31039","24B-Gal4",7
"803","female","Tsc1","31039","24B-Gal4",7
"804","female","Tsc1","31039","24B-Gal4",7
"805","female","Tsc1","31039","24B-Gal4",7
"806","female","Tsc1","31039","24B-Gal4",56
"807","female","Tsc1","31039","24B-Gal4",56
"808","female","Tsc1","31039","24B-Gal4",56
"809","female","Tsc1","31039","24B-Gal4",56
"810","female","Tsc1","31039","24B-Gal4",56
"811","female","Tsc1","31039","24B-Gal4",56
"812","female","Tsc1","31039","24B-Gal4",55
"813","female","Tsc1","31039","24B-Gal4",55
"814","female","Tsc1","31039","24B-Gal4",55
"815","female","Tsc1","31039","24B-Gal4",55
"816","female","Tsc1","31039","24B-Gal4",55
"817","female","Tsc1","31039","24B-Gal4",55
"818","male","Tsc1","31039","24B-Gal4",38
"819","male","Tsc1","31039","24B-Gal4",38
"820","male","Tsc1","31039","24B-Gal4",38
"821","male","Tsc1","31039","24B-Gal4",38
"822","male","Tsc1","31039","24B-Gal4",38
"823","male","Tsc1","31039","24B-Gal4",38
"824","female","Tsc1","31039","24B-Gal4",48
"825","female","Tsc1","31039","24B-Gal4",48
"826","female","Tsc1","31039","24B-Gal4",48
"827","female","Tsc1","31039","24B-Gal4",48
"828","female","Tsc1","31039","24B-Gal4",48
"829","female","Tsc1","31039","24B-Gal4",48
"830","male","Tsc1","31039","Hand-Gal4",82
"831","male","Tsc1","31039","Hand-Gal4",82
"832","male","Tsc1","31039","Hand-Gal4",52
"833","male","Tsc1","31039","Hand-Gal4",52
"834","male","Tsc1","31039","Hand-Gal4",52
"835","male","Tsc1","31039","Hand-Gal4",52
"836","male","Tsc1","31039","Hand-Gal4",78
"837","male","Tsc1","31039","Hand-Gal4",78
"838","male","Tsc1","31039","Hand-Gal4",78
"839","male","Tsc1","31039","Hand-Gal4",78
"840","female","Tsc1","31039","Hand-Gal4",91
"841","female","Tsc1","31039","Hand-Gal4",91
"842","female","Tsc1","31039","Hand-Gal4",91
"843","female","Tsc1","31039","Hand-Gal4",91
"844","male","Tsc1","31039","Hand-Gal4",85
"845","male","Tsc1","31039","Hand-Gal4",85
"846","male","Tsc1","31039","Hand-Gal4",85
"847","male","Tsc1","31039","Hand-Gal4",85
"848","male","Tsc1","31039","Hand-Gal4",93
"849","male","Tsc1","31039","Hand-Gal4",93
"850","male","Tsc1","31039","Hand-Gal4",93
"851","male","Tsc1","31039","Hand-Gal4",93
"852","male","Tsc1","31039","Hand-Gal4",86
"853","male","Tsc1","31039","Hand-Gal4",86
"854","male","Tsc1","31039","Hand-Gal4",86
"855","male","Tsc1","31039","Hand-Gal4",86
"856","male","Tsc1","31039","Hand-Gal4",76
"857","male","Tsc1","31039","Hand-Gal4",76
"858","male","Tsc1","31039","Hand-Gal4",76
"859","male","Tsc1","31039","Hand-Gal4",76
"860","female","Tsc1","31039","Hand-Gal4",73
"861","female","Tsc1","31039","Hand-Gal4",73
"862","female","Tsc1","31039","Hand-Gal4",73
"863","female","Tsc1","31039","Hand-Gal4",73
"864","male","Tsc1","31039","Hand-Gal4",63
"865","male","Tsc1","31039","Hand-Gal4",63
"866","male","Tsc1","31039","Hand-Gal4",63
"867","male","Tsc1","31039","Hand-Gal4",59
"868","male","Tsc1","31039","Hand-Gal4",59
"869","male","Tsc1","31039","Hand-Gal4",59
"870","male","Tsc1","31039","Hand-Gal4",79
"871","male","Tsc1","31039","Hand-Gal4",79
"872","male","Tsc1","31039","Hand-Gal4",79
"873","male","Tsc1","31039","Hand-Gal4",79
"874","female","Tsc1","31039","Hand-Gal4",85
"875","female","Tsc1","31039","Hand-Gal4",85
"876","female","Tsc1","31039","Hand-Gal4",85
"877","female","Tsc1","31039","Hand-Gal4",85
"878","male","Tsc1","31039","Hand-Gal4",71
"879","male","Tsc1","31039","Hand-Gal4",71
"880","male","Tsc1","31039","Hand-Gal4",71
